model	label	scc	pcc	color	alpha
pcv2_1	valid	0.5776388858057971	0.567761116233746	C0	0.4
pcv2_1	test	0.5776388858057971	0.567761116233746	C0	0.4
pcv2_2	valid	0.6244557934901928	0.6200145869912047	C0	0.7
pcv2_2	test	0.6244557934901928	0.6200145869912047	C0	0.7
pcv2_3	valid	0.6290895999932598	0.6237718407135048	C0	1.0
pcv2_3	test	0.6290895999932598	0.6237718407135048	C0	1.0
agront	valid	0.5693282727428273	0.5479551858137233	gray	1.0
agront	test	0.5693282727428273	0.5479551858137233	gray	1.0
sup_pcv2_1	valid	0.48430939098129555	0.47313641764969644	C1	1.0
sup_pcv2_1	test	0.48430939098129555	0.47313641764969644	C1	1.0
cnn_lstm	valid	0.4964212354321576	0.47394023779060757	C1	0.5
cnn_lstm	test	0.4964212354321576	0.47394023779060757	C1	0.5
