model	label	ap	auc	color	alpha	baseline
pcv2_1	valid	0.8913024185953876	0.8002223437232183	C0	0.4	0.6869948567229978
pcv2_1	test	0.9389402625606764	0.8220764315726298	C0	0.4	0.7613146673795919
pcv2_2	valid	0.9029998470551297	0.8200030623210224	C0	0.7	0.6869948567229978
pcv2_2	test	0.9434003723153118	0.8337806504493449	C0	0.7	0.7613146673795919
pcv2_3	valid	0.9042206019427126	0.8201829891786625	C0	1.0	0.6869948567229978
pcv2_3	test	0.9505908570542948	0.8537528872744201	C0	1.0	0.7613146673795919
agront	valid	0.8952053789240859	0.8067463428045218	gray	1.0	0.6869948567229978
agront	test	0.9358381501394211	0.8190220645641111	gray	1.0	0.7613146673795919
sup_pcv2_1	valid	0.867722929212424	0.7615980914425176	C1	1.0	0.6869948567229978
sup_pcv2_1	test	0.9170879787852336	0.7727506770409914	C1	1.0	0.7613146673795919
cnn_lstm	valid	0.8629418736604634	0.7585889581010634	C1	0.5	0.6869948567229978
cnn_lstm	test	0.9098588132156594	0.7595412922719489	C1	0.5	0.7613146673795919
