model	orthogroup	scc	count
agront	3I2A2	0.2643687757587737	154.0
agront	3I2A4	-0.1894580239801735	59.0
agront	3I2A5	0.6213669865464083	25.0
agront	3I2A6	0.015561891333129591	52.0
agront	3I2A7	0.011978103506768027	26.0
agront	3I2A8	0.6999082609756494	52.0
agront	3I2A9	0.038237405302738635	26.0
agront	3I2AA	0.18300917148320756	65.0
agront	3I2AB	-0.06663975161140315	24.0
agront	3I2AC	-0.6287028373387765	54.0
agront	3I2AD	0.35831115443979744	60.0
agront	3I2AE	0.17474902628165853	66.0
agront	3I2AF	0.7118085428078238	35.0
agront	3I2AG	0.6792653304814472	162.0
agront	3I2AH	0.6673163173168277	56.0
agront	3I2AI	0.21643606471270946	52.0
agront	3I2AJ	-0.06983284569395805	81.0
agront	3I2AK	0.20456391157808515	27.0
agront	3I2AM	0.44999540344416883	47.0
agront	3I2AN	0.6301956715350429	89.0
agront	3I2AP	0.7364404517539728	27.0
agront	3I2AQ	0.6951158152737114	48.0
agront	3I2AS	0.05728746590662615	53.0
agront	3I2AT	-0.16689270356096866	29.0
agront	3I2AV	0.3222967745165148	90.0
agront	3I2AX	0.2858025699389746	27.0
agront	3I2AY	0.22886293077952571	53.0
agront	3I2AZ	0.40125778732258266	51.0
agront	3I2B0	0.3789305572137896	70.0
agront	3I2B1	-0.1857998968944419	26.0
agront	3I2B2	-0.2038766594099886	53.0
agront	3I2B3	0.2657062648054674	52.0
agront	3I2B4	0.07902841398340815	26.0
agront	3I2B5	-0.132652945124836	54.0
agront	3I2B6	-0.25119794211336377	26.0
agront	3I2B7	0.0417819943545519	27.0
agront	3I2B8	0.6824325882892023	79.0
agront	3I2B9	0.26284769202088215	52.0
agront	3I2BB	-0.2319500614631537	52.0
agront	3I2BC	0.15088880302394378	31.0
agront	3I2BD	-0.1407848674205531	27.0
agront	3I2BF	0.5553354195237911	90.0
agront	3I2BG	0.49308223706102583	48.0
agront	3I2BI	-0.17780150938299946	52.0
agront	3I2BM	0.6228864423029142	52.0
agront	3I2BN	0.1608082098761877	62.0
agront	3I2BP	0.12832473053638752	26.0
agront	3I2BR	-0.40470980877255497	28.0
agront	3I2BS	0.632873610546209	70.0
agront	3I2BT	0.6099898793611115	26.0
agront	3I2BV	0.5979414501251225	106.0
agront	3I2BW	0.15461148307102862	26.0
agront	3I2BX	0.028357889080067932	51.0
agront	3I2BY	0.3953385554056611	26.0
agront	3I2BZ	0.1736592033602969	51.0
agront	3I2C0	0.16778935707417775	56.0
agront	3I2C1	0.6600907736618981	100.0
agront	3I2C2	0.44359749028309137	25.0
agront	3I2C3	0.7530019271875261	75.0
agront	3I2C4	0.7290721450431127	62.0
agront	3I2C5	0.023622069392630115	26.0
agront	3I2C6	0.2591494838426895	45.0
agront	3I2C7	0.23913750197834194	55.0
agront	3I2C8	0.01563518247094062	26.0
agront	3I2C9	-0.32330766201906175	26.0
agront	3I2CA	0.02763245331042502	52.0
agront	3I2CB	-0.14282867879014058	27.0
agront	3I2CC	-0.44209060282890317	53.0
agront	3I2CD	0.7225127508693059	44.0
agront	3I2CE	-0.08403406748399858	28.0
agront	3I2CG	0.25717459431214323	26.0
agront	3I2CH	-0.2801692430131226	26.0
agront	3I2CI	-0.2957079888882333	27.0
agront	3I2CJ	0.6150707616067933	31.0
agront	3I2CK	0.2577514121281878	28.0
agront	3I2CM	-0.060691292775752276	49.0
agront	3I2CN	0.43071596724163247	25.0
agront	3I2CP	-0.3453707766828646	26.0
agront	3I2CQ	0.5060769968470102	52.0
agront	3I2CR	-0.7194308582697235	23.0
agront	3I2CS	-0.326497268029532	66.0
agront	3I2CT	0.4031091073004478	117.0
agront	3I2CU	-0.3483360616693489	70.0
agront	3I2CV	0.5372601070326175	79.0
agront	3I2CX	0.4846708015310955	25.0
agront	3I2CY	0.1937392220550046	29.0
agront	3I2CZ	0.322913580120915	52.0
agront	3I2D0	0.4545291659127385	48.0
agront	3I2D1	0.06151198572831357	43.0
agront	3I2D2	-0.03716528164727306	26.0
agront	3I2D4	0.42903075555552384	52.0
agront	3I2D6	0.5363681454125572	26.0
agront	3I2D7	0.3932913998103185	26.0
agront	3I2D8	0.4224513118426819	53.0
agront	3I2D9	0.24863795085272655	52.0
agront	3I2DA	0.40054966158836874	28.0
agront	3I2DB	0.6113849800573684	32.0
agront	3I2DC	-0.22656393388860213	27.0
agront	3I2DE	0.7649469850242014	106.0
agront	3I2DF	0.46882373385657256	26.0
agront	3I2DG	0.3977284468667251	139.0
agront	3I2DH	-0.21606098636040588	28.0
agront	3I2DI	0.13986957476252307	96.0
agront	3I2DJ	0.22744355212774198	51.0
agront	3I2DK	-0.11001845962521471	27.0
agront	3I2DM	-0.013268038002876242	52.0
