assembly	accuracy	total_masked_tokens	correct_predictions	total_predictions
Acoerulea	0.6143	8472619	5204893	8472619
Acomosus	0.6523	9337462	6091237	9337462
Ahypochondriacus	0.6546	9186454	6013404	9186454
Ahypogaea	0.6690	9039949	6047524	9039949
Aofficinalis	0.6730	10311022	6939197	10311022
Athaliana	0.6384	7790912	4973661	7790912
Bdistachyon	0.6060	8609925	5217393	8609925
Bplatyphylla	0.6693	9256487	6195687	9256487
Bstricta	0.6425	6511913	4184125	6511913
Bvulgaris	0.6551	9891979	6480649	9891979
Carabica	0.5921	8818198	5221544	8818198
Carietinum	0.6714	7985027	5361290	7985027
Cavellana	0.6716	8968352	6023033	8968352
Ccitriodora	0.5952	8221931	4893470	8221931
Cclementina	0.6310	8390487	5294040	8390487
Cillinoinensis	0.6331	9188767	5817369	9188767
Ckanehirae	0.6243	11298830	7053419	11298830
Cquinoa	0.6420	9507259	6103539	9507259
Crubella	0.6378	7866243	5017364	7866243
Csativus	0.5909	7792242	4604813	7792242
Dalata	0.6211	8730639	5422860	8730639
Dcarota	0.6193	8873933	5495746	8873933
Ecoracana	0.6038	8566726	5172720	8566726
Egrandis	0.5975	7903125	4722014	7903125
Esalsugineum	0.6430	8082564	5197011	8082564
Fvesca	0.6295	8344966	5253504	8344966
Gmax	0.6151	9113264	5605457	9113264
Hannuus	0.7079	8634754	6112144	8634754
Hvulgare	0.7113	8517920	6059195	8517920
Lalbus	0.6350	8551375	5430242	8551375
Lervoides	0.7034	8924058	6277396	8924058
Ljaponicus	0.6431	9244000	5944704	9244000
Lsativa	0.6752	7585851	5122310	7585851
Lusitatissimum	0.6048	7326528	4431231	7326528
Macuminata	0.5718	8098320	4630258	8098320
Mdomestica	0.6600	8431053	5564612	8431053
Mesculenta	0.6435	9067201	5834366	9067201
Msinensis	0.6541	6701696	4383816	6701696
Mtruncatula	0.6572	7913502	5201101	7913502
Ncolorata	0.5789	9765653	5653458	9765653
Oeuropaea	0.6783	6822725	4627695	6822725
Osativa	0.6439	8294549	5340871	8294549
Othomaeum	0.5954	8212369	4889788	8212369
Pamilis	0.6812	8236282	5610559	8236282
Ppersica	0.6303	8321239	5244911	8321239
Ptrichocarpa	0.6185	8687771	5373651	8687771
Ptrifoliata	0.6309	8630603	5445034	8630603
Pvaginatum	0.6188	8603504	5323865	8603504
Pvirgatum	0.6470	8365699	5412695	8365699
Qrubra	0.6472	9448503	6115057	9448503
Rcommunis	0.5991	6368868	3815575	6368868
Sbicolor	0.6422	8753082	5621520	8753082
Soleracea	0.7247	9272569	6719560	9272569
Sparvula	0.6291	7716678	4854357	7716678
Spolyrhiza	0.5751	6274082	3608524	6274082
Spurpurea	0.6304	8530073	5377113	8530073
Sviridis	0.6205	8196883	5085966	8196883
Taestivum	0.6722	8422797	5661878	8422797
Tintermedium	0.6644	8792768	5841978	8792768
Vdarrowii	0.6411	9695532	6216282	9695532
Vfaba	0.7219	8644413	6240479	8644413
Vunguiculata	0.6307	8868256	5593579	8868256
Vvinifera	0.6323	9248417	5847894	9248417
Zmarina	0.6751	8993158	6071454	8993158
Zmays	0.6919	9181066	6352295	9181066
