species	model	ap	color	alpha	baseline
hordeum_vulgare	pcv2-l24-d0768	0.39760461869128433	C0	0.4	0.004014915456939465
hordeum_vulgare	pcv2-l48-d1024	0.4101430850023593	C0	0.7	0.004014915456939465
hordeum_vulgare	pcv2-l48-d1536	0.4490876511992666	C0	1.0	0.004014915456939465
hordeum_vulgare	agront	0.3856160966437753	gray	1.0	0.004014915456939465
hordeum_vulgare	sup_pcv2-l24-d0768	0.22504755019929512	C1	1.0	0.004014915456939465
hordeum_vulgare	cnn-lstm	0.19376518387286717	C1	0.5	0.004014915456939465
zea_mays	pcv2-l24-d0768	0.5866695242532278	C0	0.4	0.00917100240059074
zea_mays	pcv2-l48-d1024	0.6538267276689878	C0	0.7	0.00917100240059074
zea_mays	pcv2-l48-d1536	0.6909984990137472	C0	1.0	0.00917100240059074
zea_mays	agront	0.6126429169284189	gray	1.0	0.00917100240059074
zea_mays	sup_pcv2-l24-d0768	0.49060173181796146	C1	1.0	0.00917100240059074
zea_mays	cnn-lstm	0.3856454765329239	C1	0.5	0.00917100240059074
