model	label	scc	pcc	color	alpha
pcv2_1	valid	0.4685114952099531	0.4290291416456472	C0	0.4
pcv2_1	test	0.29216258699384473	0.264132233552199	C0	0.4
pcv2_2	valid	0.470192273676047	0.43112821690375114	C0	0.7
pcv2_2	test	0.3212004214474715	0.29569341139251215	C0	0.7
pcv2_3	valid	0.5405634229347053	0.5251201275787787	C0	1.0
pcv2_3	test	0.3025753596840135	0.28243405331613014	C0	1.0
agront	valid	0.33137273625915065	0.31290472053225177	gray	1.0
agront	test	0.18084519014657338	0.16872761643152148	gray	1.0
sup_pcv2_1	valid	0.28453527938618794	0.26406211999406626	C1	1.0
sup_pcv2_1	test	0.08272877108235757	0.0674004820126515	C1	1.0
cnn_lstm	valid	0.2740139833121242	0.24972521551505036	C1	0.5
cnn_lstm	test	0.1277744373299493	0.11646218479095191	C1	0.5
