model	label	ap	auc	color	alpha	baseline
pcv2_1	valid	0.8334243184514256	0.7498031928467477	C0	0.4	0.6429351784413693
pcv2_1	test	0.5660118057353849	0.6549895623009923	C0	0.4	0.41411553733828615
pcv2_2	valid	0.6393152314131001	0.49643732477447877	C0	0.7	0.6429351784413693
pcv2_2	test	0.4003767978833075	0.49091075026870234	C0	0.7	0.41411553733828615
pcv2_3	valid	0.8611615507641315	0.790243795357532	C0	1.0	0.6429351784413693
pcv2_3	test	0.5999677900792971	0.69169866501593	C0	1.0	0.41411553733828615
agront	valid	0.7972570854903329	0.6897677321764784	gray	1.0	0.6429351784413693
agront	test	0.5000690947068764	0.5868446054847318	gray	1.0	0.41411553733828615
sup_pcv2_1	valid	0.7685920637979649	0.66157762578147	C1	1.0	0.6429351784413693
sup_pcv2_1	test	0.45124029447101294	0.5552388701398767	C1	1.0	0.41411553733828615
cnn_lstm	valid	0.7904889044199905	0.6804170275339381	C1	0.5	0.6429351784413693
cnn_lstm	test	0.5032691158780734	0.5971281132711134	C1	0.5	0.41411553733828615
