Human	TIS	TTS	Acceptor	Donor
vertcad2-88M	0.355276	0.074033	0.737538	0.823369
vercad2-676M	0.509045	0.177086	0.791987	0.873908
vertcad2-88M-v2	0.321517	0.096381	0.693398	0.784243
evo2-7b-rc	0.7317	0.0889	0.885	0.1734
evo2-7b-fwd	0.1915	0.6908	0.2011	0.8671
evo2-1b-rc	0.4715	0.024	0.6685	0.0864
evo2-1b-fwd	0.0531	0.3907	0.1595	0.6451
Mouse	TIS	TTS	Acceptor	Donor
vertcad2-88M	0.326453	0.068538	0.730177	0.803994
vercad2-676M	0.497296	0.166772	0.787372	0.856771
vertcad2-88M-v2	0.301893	0.093006	0.691002	0.759078
evo2-7b-rc	0.696	0.0604	0.8515	0.1652
evo2-7b-fwd	0.1716	0.5847	0.2165	0.8279
evo2-1b-rc	0.4708	0.0235	0.6505	0.0776
evo2-1b-fwd	0.0721	0.3397	0.1713	0.6191
