context	seed	valid_scc	valid_pcc	test_scc	test_pcc
2k	seed42	0.5776388858057971	0.567761116233746	0.6296413998088447	0.6056846135126704
2k	seed1024	0.580270342329447	0.5673841917429165	0.6247877152251999	0.6052887887928443
2k	seed123	0.579067260655218	0.5660764475239011	0.625240629502948	0.6036188759532988
2k	seed456	0.5786923704928798	0.5642973306525738	0.6302360588762846	0.6068258911938637
2k	seed789	0.577349219931047	0.566781023640933	0.6304825341277277	0.6075906717092281
4k	seed42	0.587167887165727	0.5743054429744269	0.6427585668154941	0.6205093233679212
4k	seed1024	0.5933903198349898	0.5800093575926839	0.6394306776155356	0.6195807997547633
4k	seed123	0.592715680180258	0.5828130456245099	0.6386055792999863	0.6218752482013757
4k	seed456	0.596596797530165	0.5825105693744493	0.6355009973389434	0.6186080721376386
4k	seed789	0.5933423528062781	0.583132258316813	0.6412202400012783	0.6235552425646542
8k	seed42	0.5888079112165568	0.571382975772012	0.6455238433111842	0.6225526105154684
8k	seed1024	0.5918613742762133	0.5814117419017385	0.6483188945331269	0.626500342504505
8k	seed123	0.5709539076220191	0.5465275459653536	0.6379781109034195	0.6162095284773244
8k	seed456	0.5825158836206255	0.5630308250126332	0.6456510050995399	0.6247072224558472
8k	seed789	0.5755561839711782	0.5533673971303312	0.6424992799145846	0.6225248797487607
