model	seed	valid_scc	valid_pcc	test_scc	test_pcc
pcv2_1	seed42	0.5776388858057971	0.567761116233746	0.6296413998088447	0.6056846135126704
pcv2_1	seed1024	0.580270342329447	0.5673841917429165	0.6247877152251999	0.6052887887928443
pcv2_1	seed123	0.579067260655218	0.5660764475239011	0.625240629502948	0.6036188759532988
pcv2_1	seed456	0.5786923704928798	0.5642973306525738	0.6302360588762846	0.6068258911938637
pcv2_1	seed789	0.577349219931047	0.566781023640933	0.6304825341277277	0.6075906717092281
agront	seed42	0.5693282727428273	0.5479551858137233	0.61644044325393	0.5915092224732404
agront	seed1024	0.5724352374466706	0.553465168597557	0.6146656846505386	0.5910230076703403
agront	seed123	0.5750160074177181	0.5542815208209332	0.6158746212198611	0.5904812517681095
agront	seed456	0.5708681363960216	0.5492439102843913	0.618748328954198	0.5919763665175085
agront	seed789	0.5726404350009932	0.551714076479255	0.6129472956481802	0.5885560934724487
sup_pcv2_1	seed42	0.48430939098129555	0.47313641764969644	0.5516833801219246	0.5461098548361197
sup_pcv2_1	seed1024	0.4751147199422275	0.4667999408338825	0.5481486869838451	0.5384586610043066
sup_pcv2_1	seed123	0.48767698562828243	0.4819630127233598	0.557411633843892	0.5527426645580714
sup_pcv2_1	seed456	0.4536806239454238	0.4452275650656243	0.5443655721971651	0.5398181263053838
sup_pcv2_1	seed789	0.48161677407249825	0.4673601083438781	0.5537157216108122	0.5471967617486861
cnn_lstm	seed42	0.4964212354321576	0.47394023779060757	0.559328255353189	0.5446615249630827
cnn_lstm	seed1024	0.4783769932655714	0.4546397685211913	0.5352824738759594	0.527228692542045
cnn_lstm	seed123	0.4902712652212526	0.46255989827402155	0.5603706537660634	0.5468765710487248
cnn_lstm	seed456	0.4904181709373389	0.46309853466490564	0.5487804735723351	0.5424935606262286
cnn_lstm	seed789	0.49202690926863785	0.468564023353716	0.5621958500121919	0.5411335169155101
