context	seed	valid_auc	valid_ap	test_auc	test_ap
2k	seed42	0.8002223437232183	0.8913024185953876	0.8220764315726298	0.9389402625606764
2k	seed1024	0.8029748217081367	0.8936860364391987	0.8166575811957961	0.9364630501410782
2k	seed123	0.8013710550532792	0.8922541503219241	0.8229242791658438	0.9389545352594096
2k	seed456	0.801237388460071	0.8918145665994541	0.8207946322151106	0.9383184913616798
2k	seed789	0.7997485673265845	0.8907090768878778	0.8220461962165551	0.9383223130155969
4k	seed42	0.8050451974529009	0.8947573177384929	0.8351004108199491	0.9440956475288743
4k	seed1024	0.8044935895746174	0.8948759493731998	0.8334960654211379	0.9435402468304157
4k	seed123	0.8059431057487971	0.8954546094621217	0.8331965537366504	0.9432373175382348
4k	seed456	0.8047371656555843	0.8930886645324384	0.8330028944257528	0.9426267959687706
4k	seed789	0.806134637133773	0.8956931849086204	0.8336583494947984	0.9438496867066662
8k	seed42	0.810899827064485	0.8994963034098961	0.8454947436874916	0.9477647908930507
8k	seed1024	0.8103901200262764	0.8984199980525942	0.8405939372581867	0.9458549855651937
8k	seed123	0.8064136548518004	0.8962623905930492	0.8366380640680465	0.944068186256608
8k	seed456	0.8082228150474933	0.8977981915835023	0.8463133905859306	0.9484318002998802
8k	seed789	0.8036329347505735	0.8934713822850708	0.8397870766744987	0.9447367802380475
