model	seed	valid_auc	valid_ap	test_auc	test_ap
pcv2_1	seed42	0.8002223437232183	0.8913024185953876	0.8220764315726298	0.9389402625606764
pcv2_1	seed1024	0.8029748217081367	0.8936860364391987	0.8166575811957961	0.9364630501410782
pcv2_1	seed123	0.8013710550532792	0.8922541503219241	0.8229242791658438	0.9389545352594096
pcv2_1	seed456	0.801237388460071	0.8918145665994541	0.8207946322151106	0.9383184913616798
pcv2_1	seed789	0.7997485673265845	0.8907090768878778	0.8220461962165551	0.9383223130155969
agront	seed42	0.8067463428045218	0.8952053789240859	0.8190220645641111	0.9358381501394211
agront	seed1024	0.8062966651386057	0.8939111101975264	0.819805289780041	0.9359608027635462
agront	seed123	0.805982885716845	0.8945945313166437	0.817889922185266	0.9353584776346088
agront	seed456	0.8053860585665796	0.894419029817735	0.8187874601379689	0.9359622576266692
agront	seed789	0.8052652704590475	0.8939444626658126	0.8175720277439545	0.9348996992177319
sup_pcv2_1	seed42	0.7615980914425176	0.867722929212424	0.7727506770409914	0.9170879787852336
sup_pcv2_1	seed1024	0.7601450387144947	0.8667483718648867	0.7734329399777927	0.9169854309265734
sup_pcv2_1	seed123	0.753965287289415	0.8628534969712331	0.7701835074409713	0.9153506776790031
sup_pcv2_1	seed456	0.7580007476030675	0.8646877652303968	0.7726088435799104	0.9163482896794839
sup_pcv2_1	seed789	0.7478745849361702	0.8594632669601243	0.7448644388565551	0.9034279061912691
cnn_lstm	seed42	0.7585889581010634	0.8629418736604634	0.7595412922719489	0.9098588132156594
cnn_lstm	seed1024	0.7573235500235409	0.8603230460478533	0.774738111667789	0.9166605556827154
cnn_lstm	seed123	0.7616170914707231	0.865791411843601	0.7815581671101991	0.9202238626549318
cnn_lstm	seed456	0.7605949798392034	0.8643568782960707	0.7709853782820834	0.9136687226151158
cnn_lstm	seed789	0.761335856958613	0.864668869187549	0.766175552627551	0.9136093653236268
