model	label	scc	pcc	color	alpha
pcv2_1	valid	0.569844633400261	0.557019596887519	C0	0.4
pcv2_1	test	0.6584562097797985	0.6531781573602145	C0	0.4
pcv2_2	valid	0.6004966049387481	0.5923532663668648	C0	0.7
pcv2_2	test	0.6759346786527178	0.6700857775822562	C0	0.7
pcv2_3	valid	0.6183821259726962	0.6105699267428798	C0	1.0
pcv2_3	test	0.6883357593231332	0.6839917783510369	C0	1.0
agront	valid	0.5582034456730435	0.5441658001606607	gray	1.0
agront	test	0.6394816946664005	0.6325571429346047	gray	1.0
sup_pcv2_1	valid	0.458046910934023	0.45128662575400114	C1	1.0
sup_pcv2_1	test	0.5808045454184305	0.5825455138776426	C1	1.0
cnn_lstm	valid	0.464915146373467	0.46007162463204937	C1	0.5
cnn_lstm	test	0.5510469935427277	0.556030902751478	C1	0.5
