model	context	roc_auc
pcv2-small	512	0.6306514465356661
pcv2-medium	512	0.6535352550678621
pcv2-large	512	0.6614586205742028
pcv2-small	1024	0.6424958115657662
pcv2-medium	1024	0.6673022785099348
pcv2-large	1024	0.6743407996987437
pcv2-small	2048	0.6499786005950962
pcv2-medium	2048	0.6756032054101933
pcv2-large	2048	0.6820444143863207
pcv2-small	4096	0.6539010044487711
pcv2-medium	4096	0.6797378277356557
pcv2-large	4096	0.6854329741093101
pcv2-small	8192	0.652881
pcv2-medium	8192	0.678841
pcv2-large	8192	0.684095
