model	context	roc_auc
pcv2-small	512	0.6275860206573469
pcv2-medium	512	0.668930499586627
pcv2-large	512	0.6831792341282772
pcv2-small	1024	0.6436896216559775
pcv2-medium	1024	0.6877899256558899
pcv2-large	1024	0.7066506511987923
pcv2-small	2048	0.6475326624256145
pcv2-medium	2048	0.6902193642264156
pcv2-large	2048	0.7152503147411037
pcv2-small	4096	0.6475276390629465
pcv2-medium	4096	0.689302715027151
pcv2-large	4096	0.7153791340316242
pcv2-small	8192	0.6462
pcv2-medium	8192	0.6869
pcv2-large	8192	0.7125
