model	context	roc_auc
pcv2-small	512	0.6056539900712017
pcv2-medium	512	0.6365819684296292
pcv2-large	512	0.6438973944212536
pcv2-small	1024	0.6199265946530205
pcv2-medium	1024	0.6550368507134778
pcv2-large	1024	0.6610596533690528
pcv2-small	2048	0.6287714686091512
pcv2-medium	2048	0.6625374672344406
pcv2-large	2048	0.6718620900697774
pcv2-small	4096	0.6310438074685611
pcv2-medium	4096	0.6641330515951215
pcv2-large	4096	0.6723161230913148
pcv2-small	8192	0.6319
pcv2-medium	8192	0.6647
pcv2-large	8192	0.6703
