dataset,model,task,AUROC,AUPRC,Spearman,Pearson
osa_leaf_exp,plantcad2-small,regression,-,-,0.5553,0.5529
osa_leaf_exp,plantcad2-medium,regression,-,-,0.5765,0.5769
osa_leaf_exp,plantcad2-large,regression,-,-,0.5844,0.5842
osa_leaf_exp,agront,regression,-,-,0.5554,0.5593
osa_leaf_exp,sup-plantcad2,regression,-,-,0.4255,0.4697
osa_leaf_exp,cnn-lstm,regression,-,-,0.4275,0.4479
osa_leaf_bin,plantcad2-small,binary,0.7770,0.8547,-,-
osa_leaf_bin,plantcad2-medium,binary,0.7892,0.8668,-,-
osa_leaf_bin,plantcad2-large,binary,0.7868,0.8626,-,-
osa_leaf_bin,agront,binary,0.7914,0.8687,-,-
osa_leaf_bin,sup-plantcad2,binary,0.7058,0.8033,-,-
osa_leaf_bin,cnn-lstm,binary,0.6846,0.7800,-,-
sly_leaf_exp,plantcad2-small,regression,-,-,0.4490,0.3731
sly_leaf_exp,plantcad2-medium,regression,-,-,0.4494,0.3960
sly_leaf_exp,plantcad2-large,regression,-,-,0.4631,0.3984
sly_leaf_exp,agront,regression,-,-,0.4189,0.3716
sly_leaf_exp,sup-plantcad2,regression,-,-,0.1744,0.1528
sly_leaf_exp,cnn-lstm,regression,-,-,0.2646,0.2127
sly_leaf_bin,plantcad2-small,binary,0.7589,0.8462,-,-
sly_leaf_bin,plantcad2-medium,binary,0.7693,0.8625,-,-
sly_leaf_bin,plantcad2-large,binary,0.7361,0.8354,-,-
sly_leaf_bin,agront,binary,0.7546,0.8520,-,-
sly_leaf_bin,sup-plantcad2,binary,0.6179,0.7559,-,-
sly_leaf_bin,cnn-lstm,binary,0.6471,0.7700,-,-
