model	context	roc_auc
pcv2_l24_d0768	512	0.6222046267074501
pcv2_l48_d1024	512	0.6535383272091057
pcv2_l48_d1536	512	0.6695039941635976
pcv2_l24_d0768	1024	0.6359679243631414
pcv2_l48_d1024	1024	0.675712508584366
pcv2_l48_d1536	1024	0.6932107585749083
pcv2_l24_d0768	2048	0.6501057116166663
pcv2_l48_d1024	2048	0.6982885307900877
pcv2_l48_d1536	2048	0.7127287914731532
pcv2_l24_d0768	4096	0.6579828652328417
pcv2_l48_d1024	4096	0.7094866928866637
pcv2_l48_d1536	4096	0.7257227325054972
pcv2_l24_d0768	8192	0.6555301831414238
pcv2_l48_d1024	8192	0.7077233198459494
pcv2_l48_d1536	8192	0.7245289651072275
pcv1	512	0.6901719247950177
gpn	512	0.6226106979355273
evo2	8192	0.6911865436905912
