model	context	roc_auc
pcv2-l24-d0768	512	0.6275712404922289
pcv2-l48-d1024	512	0.6689079217365218
pcv2-l48-d1536	512	0.6832971244582418
pcv2-l24-d0768	1k	0.6436898717099495
pcv2-l48-d1024	1k	0.6876926008197162
pcv2-l48-d1536	1k	0.706720661011132
pcv2-l24-d0768	2k	0.6475915925343605
pcv2-l48-d1024	2k	0.6901740545912455
pcv2-l48-d1536	2k	0.7153263767990725
pcv2-l24-d0768	4k	0.6475398555726031
pcv2-l48-d1024	4k	0.6892464251799968
pcv2-l48-d1536	4k	0.7154719799386334
pcv2-l24-d0768	8k	0.6462340420529709
pcv2-l48-d1024	8k	0.6869261814811923
pcv2-l48-d1536	8k	0.7125412209154698
pcv1	512	0.7263096904282009
gpn	512	0.6063531214329337
pdllm	512	0.5029803821495741
evo2	8192	0.821577392980593
