model	label	scc	pcc	mse	mae	r2	color	alpha
pcv2_1	valid	0.4685114952099531	0.4290291416456472	0.3625629844577555	0.493185481860758	0.17903729833585635	C0	0.4
pcv2_1	test	0.29216258699384473	0.264132233552199	0.4436497600734944	0.5382894615529225	0.0693829235117609	C0	0.4
pcv2_2	valid	0.470192273676047	0.43112821690375114	0.3623320602722611	0.49433587110309685	0.17956018718918643	C0	0.7
pcv2_2	test	0.3212004214474715	0.29569341139251215	0.4791386568164721	0.6020620065040044	-0.005059973356416725	C0	0.7
pcv2_3	valid	0.5405634229347053	0.5251201275787787	0.32569120681385183	0.4673696813479398	0.2625272172942704	C0	1.0
pcv2_3	test	0.3025753596840135	0.2824340533161302	0.4412990913382715	0.5556194422883205	0.07431377812510054	C0	1.0
agront	valid	0.33137273625915065	0.31290472053225177	0.40054348296296244	0.52390516484486	0.09303686806573674	gray	1.0
agront	test	0.18084519014657338	0.1687276164315215	0.567343814013674	0.67326411537818	-0.19008255853362388	gray	1.0
sup_pcv2_1	valid	0.28453527938618794	0.26406211999406615	0.4156919730188939	0.5380805905072379	0.05873566839680322	C1	1.0
sup_pcv2_1	test	0.08272877108235757	0.0674004820126515	0.7406461587020386	0.763704399108029	-0.5536083301597055	C1	1.0
cnn_lstm	valid	0.2740139833121242	0.24972521551505036	0.41572158711945006	0.5282829015814833	0.058668612262994246	C1	0.5
cnn_lstm	test	0.1277744373299493	0.11646218479095195	0.5902613869700989	0.6778537221734963	-0.23815535528523468	C1	0.5
